method,env_id,variant_index,reward,hits,false_alarms,scanned_true_active,total_active_opportunities,overall_pd,scanned_pd,pfa,total_episodes,detected_episodes,interception_rate,mean_delay,median_delay,p90_delay,fairness_jain,min_scan_share,max_scan_share,max_min_scan_ratio,scan_b0,scan_b1,scan_b2,scan_b3,scan_b4
V73_Causal_DQN,68068,0,163.6023473770917,168,5,219,913,0.18400876232201532,0.7671232876712328,0.017793594306049824,202,97,0.4801980198019802,1.6597938144329898,1.0,4.0,0.9263719568681217,0.154,0.308,2.0,94,154,77,97,78
V70_DQN,68068,0,177.30037848070302,184,2,233,913,0.20153340635268346,0.7896995708154506,0.00749063670411985,202,102,0.504950495049505,1.7941176470588236,1.0,4.900000000000006,0.8456516591685553,0.118,0.364,3.0847457627118646,91,182,92,76,59
V65_DQN,68068,0,151.91547586843356,157,2,216,913,0.171960569550931,0.7268518518518519,0.007042253521126761,202,95,0.47029702970297027,1.9894736842105263,1.0,5.0,0.8811193740527967,0.114,0.328,2.8771929824561404,91,164,76,112,57
Old_Scalable_DQN,68068,0,158.90856869116428,161,4,209,913,0.17634173055859803,0.7703349282296651,0.013745704467353952,202,97,0.4801980198019802,1.7422680412371134,1.0,4.400000000000006,0.8994423457456378,0.082,0.29,3.5365853658536586,108,102,145,104,41
Random,68068,0,162.86177264198696,160,3,199,913,0.17524644030668127,0.8040201005025126,0.009966777408637873,202,113,0.5594059405940595,1.6371681415929205,1.0,4.0,0.9968897041231358,0.186,0.216,1.1612903225806452,97,108,97,93,105
Round_Robin,68068,0,131.7682598830757,125,3,160,913,0.13691128148959475,0.78125,0.008823529411764706,202,104,0.5148514851485149,1.9326923076923077,2.0,4.0,1.0,0.2,0.2,1.0,100,100,100,100,100
V73_Causal_DQN,68069,1,161.831513293833,163,4,213,913,0.17853231106243153,0.7652582159624414,0.013937282229965157,202,92,0.45544554455445546,2.1630434782608696,1.5,5.0,0.9288155743795512,0.15,0.308,2.0533333333333332,89,154,75,93,89
V70_DQN,68069,1,154.0449994555118,161,4,194,913,0.17634173055859803,0.8298969072164949,0.013071895424836602,202,95,0.47029702970297027,1.831578947368421,1.0,5.6000000000000085,0.8623663332183512,0.126,0.338,2.6825396825396823,120,169,67,81,63
V65_DQN,68069,1,147.4022292312981,154,2,192,913,0.1686746987951807,0.8020833333333334,0.006493506493506494,202,94,0.46534653465346537,1.946808510638298,1.0,5.0,0.8751969193068441,0.108,0.294,2.7222222222222223,68,147,90,141,54
Old_Scalable_DQN,68069,1,153.24441189110277,155,3,201,913,0.16976998904709747,0.7711442786069652,0.010033444816053512,202,98,0.48514851485148514,2.0408163265306123,2.0,4.0,0.9371368594669566,0.116,0.258,2.2241379310344827,102,87,129,124,58
Random,68069,1,124.54646480053633,124,4,163,913,0.13581599123767799,0.7607361963190185,0.011869436201780416,202,89,0.4405940594059406,1.7752808988764044,1.0,4.200000000000003,0.9971680427585656,0.186,0.216,1.1612903225806452,98,108,97,93,104
Round_Robin,68069,1,145.091910955906,137,2,175,913,0.15005476451259583,0.7828571428571428,0.006153846153846154,202,115,0.5693069306930693,2.4434782608695653,2.0,4.0,1.0,0.2,0.2,1.0,100,100,100,100,100
V73_Causal_DQN,68070,2,162.29017061769963,163,4,205,913,0.17853231106243153,0.7951219512195122,0.013559322033898305,201,92,0.4577114427860697,2.2282608695652173,2.0,5.0,0.9480110727693299,0.14,0.282,2.0142857142857142,105,141,70,90,94
V70_DQN,68070,2,155.59513773813865,158,2,180,913,0.17305585980284777,0.8777777777777778,0.00625,201,92,0.4577114427860697,2.0652173913043477,1.5,5.0,0.9231905465288035,0.126,0.292,2.3174603174603177,115,146,97,79,63
V65_DQN,68070,2,144.23222677394753,145,4,186,913,0.1588170865279299,0.7795698924731183,0.012738853503184714,201,87,0.43283582089552236,1.9425287356321839,1.0,5.0,0.9398849580811308,0.122,0.272,2.2295081967213113,86,113,104,136,61
Old_Scalable_DQN,68070,2,132.1120630131659,134,4,176,913,0.14676889375684557,0.7613636363636364,0.012345679012345678,201,87,0.43283582089552236,2.1494252873563218,1.0,5.400000000000006,0.946790380609733,0.12,0.268,2.2333333333333334,107,101,134,98,60
